transaction_id,timestamp,customer_id,type,amount,merchant,is_fraud
T00000000,2023-01-01 00:00:00,C03393,Transfer,4628.91,Amazon,0
T00000001,2023-01-01 01:00:00,C02304,Deposit,147.2,Grocery Store,0
T00000002,2023-01-01 02:00:00,C02326,Purchase,3016.07,Restaurant,0
T00000003,2023-01-01 03:00:00,C02065,Withdrawal,3047.28,Gas Station,0
T00000004,2023-01-01 04:00:00,C00308,Purchase,486.59,Gas Station,0
T00000005,2023-01-01 05:00:00,C00658,Deposit,4906.06,Grocery Store,0
T00000006,2023-01-01 06:00:00,C03932,Deposit,1302.34,Amazon,0
T00000007,2023-01-01 07:00:00,C00879,Purchase,3008.44,Restaurant,0
T00000008,2023-01-01 08:00:00,C04417,Purchase,3170.78,Walmart,0
T00000009,2023-01-01 09:00:00,C04900,Purchase,4173.18,Restaurant,0
T00000010,2023-01-01 10:00:00,C03968,Deposit,676.85,Restaurant,0
T00000011,2023-01-01 11:00:00,C03507,Payment,2885.63,Restaurant,0
T00000012,2023-01-01 12:00:00,C00380,Withdrawal,4813.49,Gas Station,0
T00000013,2023-01-01 13:00:00,C04556,Transfer,603.29,Restaurant,0
T00000014,2023-01-01 14:00:00,C01114,Transfer,180.93,Restaurant,0
T00000015,2023-01-01 15:00:00,C01392,Withdrawal,2500.67,Restaurant,0
T00000016,2023-01-01 16:00:00,C00844,Withdrawal,548.48,Grocery Store,0
T00000017,2023-01-01 17:00:00,C00707,Transfer,988.13,Amazon,0
T00000018,2023-01-01 18:00:00,C04324,Purchase,1575.79,Grocery Store,0
T00000019,2023-01-01 19:00:00,C03958,Withdrawal,3688.64,Online Retail,0
T00000020,2023-01-01 20:00:00,C00133,Deposit,289.44,Walmart,0
T00000021,2023-01-01 21:00:00,C02289,Deposit,1016.13,Amazon,0
T00000022,2023-01-01 22:00:00,C00886,Transfer,2523.76,Grocery Store,0
T00000023,2023-01-01 23:00:00,C04825,Deposit,3016.46,Grocery Store,0
T00000024,2023-01-02 00:00:00,C02736,Transfer,748.22,Walmart,0
T00000025,2023-01-02 01:00:00,C00033,Deposit,750.0,Restaurant,0
T00000026,2023-01-02 02:00:00,C04811,Transfer,129.35,Gas Station,0
T00000027,2023-01-02 03:00:00,C00317,Purchase,141.8,Restaurant,0
T00000028,2023-01-02 04:00:00,C04977,Purchase,4634.8,Grocery Store,0
T00000029,2023-01-02 05:00:00,C02122,Payment,2179.78,Restaurant,0
T00000030,2023-01-02 06:00:00,C04003,Deposit,164.71,Restaurant,0
T00000031,2023-01-02 07:00:00,C04021,Purchase,11.68,Walmart,0
T00000032,2023-01-02 08:00:00,C00136,Deposit,2196.17,Walmart,0
T00000033,2023-01-02 09:00:00,C04926,Deposit,4433.99,Grocery Store,0
T00000034,2023-01-02 10:00:00,C00085,Purchase,4756.07,Grocery Store,0
T00000035,2023-01-02 11:00:00,C00182,Transfer,932.57,Grocery Store,0
T00000036,2023-01-02 12:00:00,C01953,Withdrawal,2685.82,Restaurant,0
T00000037,2023-01-02 13:00:00,C02218,Purchase,722.45,Restaurant,0
T00000038,2023-01-02 14:00:00,C02540,Purchase,533.45,Restaurant,0
T00000039,2023-01-02 15:00:00,C02970,Transfer,889.74,Restaurant,0
T00000040,2023-01-02 16:00:00,C04510,Purchase,2142.62,Gas Station,0
T00000041,2023-01-02 17:00:00,C04593,Transfer,316.74,Restaurant,0
T00000042,2023-01-02 18:00:00,C04215,Transfer,4112.01,Walmart,0
T00000043,2023-01-02 19:00:00,C03835,Transfer,2295.72,Walmart,0
T00000044,2023-01-02 20:00:00,C00694,Transfer,684.1,Walmart,0
T00000045,2023-01-02 21:00:00,C00233,Transfer,3882.14,Gas Station,0
T00000046,2023-01-02 22:00:00,C03868,Deposit,4622.56,Restaurant,0
T00000047,2023-01-02 23:00:00,C02747,Withdrawal,4524.45,Walmart,0
T00000048,2023-01-03 00:00:00,C02016,Payment,4762.6,Online Retail,0
T00000049,2023-01-03 01:00:00,C00631,Purchase,3087.95,Online Retail,0
T00000050,2023-01-03 02:00:00,C02868,Purchase,1446.53,Walmart,0
T00000051,2023-01-03 03:00:00,C04527,Withdrawal,2242.19,Online Retail,0
T00000052,2023-01-03 04:00:00,C03179,Withdrawal,2692.58,Walmart,0
T00000053,2023-01-03 05:00:00,C00053,Payment,389.63,Restaurant,0
T00000054,2023-01-03 06:00:00,C01171,Payment,4316.35,Walmart,0
T00000055,2023-01-03 07:00:00,C00792,Payment,4624.34,Gas Station,0
T00000056,2023-01-03 08:00:00,C02436,Deposit,4263.87,Restaurant,0
T00000057,2023-01-03 09:00:00,C03964,Transfer,1072.67,Online Retail,0
T00000058,2023-01-03 10:00:00,C01607,Deposit,577.11,Grocery Store,0
T00000059,2023-01-03 11:00:00,C01287,Deposit,1986.01,Grocery Store,0
